song_title,Streams,Daily
XO Tour Llif3,2505844629,420581
20 Min,1488470381,700358
The Way Life Goes (feat. Oh Wonder),1262012458,324054
*Bad and Boujee (feat. Lil Uzi Vert),1041583482,197494
*Shoota (feat. Lil Uzi Vert),856284049,226763
Just Wanna Rock,854983768,228784
Money Longer,788644365,238117
*Wasted (feat. Lil Uzi Vert),784087881,181679
*wokeuplikethis*,621482384,144669
Erase Your Social,589608004,172534
*Life Goes On,549827350,177507
Sanguine Paradise,549406176,130358
Watch This - ARIZONATEARS Pluggnb Remix,521424045,189380
*PTSD,467849739,74189
You Was Right,464579444,57598
Myron,432608493,78426
Sauce It Up,392863629,59799
*Drankin N Smokin,382527405,105549
Futsal Shuffle 2020 - Bonus Track,371552581,51663
Neon Guts (feat. Pharrell Williams),366286317,169380
*Wanted You (feat. Lil Uzi Vert),362409196,40737
P2,357940903,34438
*FlawlÃ«ss (feat. Lil Uzi Vert),325894518,89027
Homecoming,323469996,306632
That Way - Bonus Track,315969302,32165
New Patek,303552856,49006
Do What I Want,291567080,54386
7AM,290870398,97568
Dark Queen,285611722,33639
Silly Watch,274709919,128400
Ps & Qs,263816307,50806
*His & Hers (feat. Don Toliver & Lil Uzi Vert),261866947,32049
Baby Pluto,234547877,57364
*Watch (feat. Lil Uzi Vert & Kanye West),225121749,18061
Top,216550759,62750
Yessirskiii,215477077,41476
Lo Mein,210624354,52812
"*RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",208832146,19898
*Commercial (feat. Lil Uzi Vert),201990761,49480
The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,192053172,38698
What You Saying,178854515,921282
*JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),175117567,26049
Flooded The Face,174552659,43542
*Everybody (feat. Lil Uzi Vert),168030042,34588
Seven Million (feat. Future),163388578,16144
Bean (Kobe) [feat. Chief Keef],157678688,37100
That's a Rack,153705643,13393
444+222,151171671,19446
Prices,150701985,34576
SideLine Watching (Hold Up),146170087,20847
*Too Much Sauce,144270451,13335
"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",136795818,17998
TwoÂ®,133523743,32919
Venetia,119484982,35250
UnFazed (feat. The Weeknd),115430190,11896
Bigger Than Life,113043640,28668
X,112831951,9653
*Holy Smokes (feat. Lil Uzi Vert),108205693,18144
FOR FUN,108012462,61160
Aye (feat. Travis Scott),106491126,23778
"*All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",106219036,41391
*Pull Up (feat. Lil Uzi Vert),101588956,4837
*Marvelous Day (feat. Lil Uzi Vert & Gunna),100250811,6027
*Patek,99290545,22487
*Party Girl (Remix),95350743,11532
"*Home (Metro Boomin & Don Toliver, Lil Uzi Vert)",94155286,38081
*Lookin,94005500,18430
*Pose (Bonus Track) (feat. Lil Uzi Vert),93327938,23068
Celebration Station,92734522,20573
*Reply (feat. Lil Uzi Vert),90523740,5353
*Thatâs It,89977932,18965
Endless Fashion (feat. Nicki Minaj),89877564,22187
For Real,89302593,12230
No Sleep Leak,87798954,12131
I'm Sorry,84553425,11152
*AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),83387559,26649
Feelings Mutual,83267277,11645
"*WDYW (feat. Lil Uzi Vert, A$AP Ferg & Rich The Kid)",81026092,4899
*RELENTLESS (feat. Lil Uzi Vert),81003401,17245
Pretty Mami,80977273,13226
*Scrape It Off (feat. Lil Uzi Vert & Don Toliver),78254046,8700
Canadian Goose,78035458,11230
*What's the Move (feat. Lil Uzi Vert),76566202,14972
Hi Roller,76476252,14371
How to Talk,76261772,12812
You Better Move,75752876,10442
*Mind of Melvin (feat. Lil Uzi Vert),75235944,21563
POP,73771664,14805
*Big tonka (feat. Lil Uzi Vert),73688386,21121
Ronda (Winners),73046870,9615
*There She Go (feat. Lil Uzi Vert),72828673,19906
Grab the Wheel,71442035,11196
Paradise,70129341,15840
*Tic Tac,66909873,25427
*V12 (feat. Lil Uzi Vert),66300799,5100
*just wanna rock - Sped Up Version,64825804,4760
Team Rocket,64715453,10788
*Dolly (with Lil Uzi Vert),63781440,9458
Chrome Heart Tags,63376469,16665
Leaders (feat. NAV),60874818,9065
Baby Are You Home,60244761,9068
Bust Me,58875906,9245
*Over Your Head,58565413,6496
Strawberry Peels (feat. Young Thug & Gunna),58413647,12999
*All Bad (feat. Lil Uzi Vert),57427476,10501
Of Course We Ghetto Flowers (feat. Playboi Carti & Offset),56064096,9505
*A$AP Ferg,55807716,3883
You're Lost,55690994,12671
Loaded,54394082,12616
Malfunction,54276103,6434
Secure The Bag,53574180,7321
*Flood My Wrist (feat. Lil Uzi Vert),52877482,2584
Early 20 Rager,52695945,6973
I Can Drive,52612978,8574
Chill Bae,52420991,26720
*Blue Notes 2 (feat. Lil Uzi Vert),51952003,6273
Trap This Way (This Way),51434552,10282
Patience (feat. Don Toliver),50468031,30962
The End (feat. BABYMETAL),49624423,20660
Got The Guap (feat. Young Thug),48817643,9050
I Can Show You,48283661,12836
Lotus,48171892,9690
*JUMPIN (with Lil Uzi Vert),46709308,30239
Enemies,46607366,7784
*Pose (feat. Megan Thee Stallion & Lil Uzi Vert),46539856,13819
Spin Again,45903443,14672
Wassup (feat. Future),45890410,7099
*Pull Up (feat. Lil Uzi Vert & YNW Melly),45256403,2347
Suicide Doors,44981254,11063
Money Spread (feat. Young Nudy),44770631,20983
*Froze (feat. Lil Uzi Vert & Nicki Minaj),44163305,1724
Werewolf (feat. Bring Me The Horizon),44099840,12118
Scott and Ramona,43976644,8207
Moon Relate,43063523,5549
Pluto to Mars,42388792,16762
Come This Way,42039848,10363
*TWIN TRIM (with Lil Uzi Vert),41889611,27823
*Camera,41068473,1119
No Auto (feat. Lil Durk),39968832,5280
x2,39892112,21029
*From the Garden (feat. Lil Uzi Vert),39235128,6130
I Gotta,39115779,8146
Original Uzi (4 of Us),38909514,4554
*Luv Is Art (feat. Lil Uzi Vert),38205987,3905
*It's A Dream (feat. Lil Uzi Vert),38078192,187883
*Multi Millionaire (feat. Lil Uzi Vert),37109307,969
Demon High,36504552,2904
*Real Baby Pluto,36310885,14798
*Stripes Like Burberry,36071293,5803
Sasuke,35681929,3920
*BADASS (with Lil Uzi Vert),35610015,6273
*Proud of You (feat. Lil Uzi Vert & Yung Kayo),35458990,6180
Urgency (feat. Syd),35076193,3612
*Heavy (with Nigo),34841832,3775
*Heart In Pieces,34513914,20306
Right Now,34364681,8736
*NAVUZIMETRO#PT2,34098563,3070
*Million Dollar Play,32504976,7527
"*Like This (feat. Lil Uzi Vert, Destroy Lonely)",32197245,13731
Red Moon,31633746,12003
*Multiple Flows (with Lil Uzi Vert),30131861,12868
*bank account (with Lil Uzi Vert),30002387,6324
*Teenage Dream 2 (with Lil Uzi Vert),29750588,3138
Zoom (Bonus Track),29721948,9880
Diamonds All on My Wrist,29436968,7429
Super Saiyan,29176359,3730
Money Mitch,29150622,3387
*Wrong (feat. Lil Uzi Vert),28362473,2179
Crush Em,28092286,6872
"*bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)",27212256,3449
"Mama, Iâm Sorry",26122700,7700
All My Chains,25665145,3127
*Show U Off (feat. Lil Uzi Vert),25606230,1418
*Extendo (feat. Lil Uzi Vert),25419435,3544
Light Year (Practice),25241345,14105
*Hellcat Kenny (feat. Lil Uzi Vert),24999965,7950
*Baby Sasuke,24721362,7788
*3G (feat. Lil Uzi Vert),24417688,9137
*DONNY DARKO (FEAT. LIL UZI VERT),24412085,14791
*Runner (feat. A$AP Ant & Lil Uzi Vert),24217673,1337
*Everything,24002670,2747
*Marni On Me,23978338,3920
*Plastic,23581225,3628
*It's A Slime (feat. Lil Uzi Vert),23410868,2220
Nakamura,23172944,5034
Yamborghini Dream (feat. Young Thug),22586290,3276
F.F.,22561868,7182
*Up (feat. Lil Uzi Vert),22432516,1740
*Fuck That Check Up (feat. Lil Uzi Vert),22190811,1047
*420 in London,21790280,1547
Amped,21532715,4680
*Sleeping On The Floor,21076698,3600
Fire Alarm (feat. Snow Strippers),21004638,7274
*Moment of Clarity,20849869,5146
I KNOW,20799770,4137
*LOVE HURTS,20730921,12475
Banned from TV,20658625,3090
All Alone,20577472,5554
Safe House,20512765,3551
*Potential (feat. Lil Uzi Vert & Young Dolph),20444652,930
*Dead Shot (with Lil Uzi Vert),20315265,4095
Skir Skirr,19816715,2310
Died and Came Back,19529235,5299
*Diamond Choker (feat. Lil Uzi Vert),19315346,989
*Rich Nigga (feat. Lil Uzi Vert),19254060,4499
*At the Hotel (feat. Lil Uzi Vert & Young Jordan),18914063,5605
*I Donât Wanna Break Up,18767293,2840
*Status (feat. Lil Uzi Vert),18614987,2007
*I'm Not Human,18255911,4079
Ballin,18184708,3873
*Bought A Bad Bitch,18046006,2894
*Blood Moon (feat. Lil Uzi Vert),17857559,2907
*miles (feat. Lil Uzi Vert),17833034,7771
GLOCK IN MY PURSE,17497627,4780
CIGARETTE,17490854,4861
Days Come and Go,16799187,5198
SPACE CADET,16642062,2847
Of Course (Bonus Track),16472690,6795
*Bankroll,16390420,4419
*She Never Been To Pluto,16356774,3454
"*SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",16341974,2356
*Off Dat,16183119,3062
Space High,15986754,7704
That Fiya,15806994,4144
*Die For a Man (feat. Lil Uzi Vert),14945990,1304
Rehab,14272671,4156
*Because of You,14246024,3408
Belly,14211933,1977
*Pudgy (with Lil Uzi Vert),14119946,3407
*Interstellar (with Lil Uzi Vert),13896503,4657
*Sossboy 2 (feat. Lil Uzi Vert),13541339,2040
"*High School Reunion, Prom [Feat. Lil Uzi Vert]",13482141,2340
Lullaby,12998201,1635
"*Motto (feat. Lil Uzi Vert, G-Eazy & Mally Mall)",12538194,692
*LOW KEY (feat. Lil Uzi Vert),12388591,697
HITTIN MY SHOULDER,12353226,2506
Conceited,12272040,8674
Count Dem Rolls (feat. Uzi Gang),12200679,896
NFL,12124734,3078
CS,12095989,2761
*Zambamafoo,12073558,823
Mr Chow,12053727,6230
FLEX UP,12002678,2622
We Good,11582096,4898
*Smoke My Dope (with Steve Aoki & Lil Uzi Vert),11488857,396
*Count A Million (feat. Lil Uzi Vert),11353510,960
*Never Bend (feat. Lil Uzi Vert) - Remix,11185954,1663
*Bust a Move,11102715,3878
Not An Option,11062250,7417
Shardai (Bonus Track),10939729,2965
*My Legacy,10901212,2209
Pump Up The Jam,10526344,1332
*Heartless - Vapor Wave Remix,10482292,616
PerkySex,10461962,5881
*Strong,10217858,882
*Stay Awake,10119122,2969
*Been Ballin (feat. Lil Uzi Vert),10026045,382
*Like This,9703098,1071
*Right Or Wrong (feat. Lil Uzi Vert),9604348,548
Regular,9509092,17366
*YNW Home Invasion (feat. Lil Uzi Vert),9443712,1794
Chips and Dip,9342239,6410
ISSA HIT,9235460,1847
Relevant,8972404,17400
Lyft Em Up,8713722,5237
Chanel Boy,8681778,11975
*Let It Blow (feat. Lil Uzi Vert),8681277,1317
*spend the money (feat. Lil Uzi Vert),7981197,1525
*Everything (Remix),7848153,344
*Uzi Gang (feat. Lil Uzi Vert & Marty Baller),7592820,256
Meteor Man,7504029,3139
Goddard Song,7087536,3973
Watch This (ARIZONATEARS Pluggnb Remix) - Slowed Down Version,7006311,16944
The Rush (feat. Big Time Rush),6551302,2539
Paars In The Mars,6401236,2863
*Big Racks (feat. Lil Uzi Vert),6150227,2965
*Bussin (feat. Lil Uzi Vert),5641862,701
*Yellow Tape (feat. Lil Uzi Vert),5463293,722
*GOMD (feat. Lil Uzi Vert) - Remix,5332025,2043
She Stank,5320012,2302
*Ransom,4873815,815
*Throw In The Towel (with Lil Uzi Vert),4621724,1075
*Super Freak (feat. Lil Uzi Vert),4564910,350
Black Hole,4463986,1910
*FLEXIN N' FLASHIN - Remix,4420089,982
*Next Up (feat. Lil Uzi Vert & Gucci Mane),4360349,1774
*Die For a Man (feat. Lil Uzi Vert) - Galantis Remix,4043558,410
*Free Lighter (feat. Lil Uzi Vert & Chief Keef),3918274,508
*Free Game,3545854,891
*Big Money - C4 Remix,1955077,83
*I Got It (feat. Lil Uzi Vert),1858678,388
*Fashion (feat. Lil Uzi Vert),1842984,892
*Pussy and Drank (with Lil Uzi Vert),1663185,665
Early 20 Rager,1260479,143
*Two Tone (ft Lil Uzi Vert),1242704,141
*Endless Fashion (with Nicki Minaj) - sped up version,1028003,285
*We Rollin (feat. Lil Uzi Vert & Rome Fortune),921012,97
*Endless Fashion (with Nicki Minaj) - sped up version,860885,185
*Endless Fashion (with Nicki Minaj) - slowed down version,700577,104
*Simply (feat. Lil Uzi Vert),647797,81
Nakamura,532163,144
*Endless Fashion (with Nicki Minaj) - slowed down version,398803,237
*Free Game - Sped Up,216967,11
*Free Game - Chopped Not Slopped,179430,18
Fire Alarm (feat. Snow Strippers),130558,99
*Ransom (feat. Lil Uzi Vert) [Fast],100343,22
